,City Name,Country,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed,Clouds
0,kimbe,PG,-5.56,150.15,2019-03-10,76.39,100.0,5.41,92.0
1,paslek,PL,54.06,19.66,2019-03-10,34.0,86.0,8.99,88.0
2,mataura,NZ,-46.19,168.86,2019-03-10,68.0,71.0,1.01,64.0
3,vila velha,BR,-3.71,-38.6,2019-03-10,77.0,94.0,2.24,40.0
4,nemyriv,UA,50.1,23.44,2019-03-10,46.4,70.0,13.42,75.0
5,sorong,ID,-0.86,131.25,2019-03-10,82.96,98.0,5.97,88.0
6,yellowknife,CA,62.45,-114.38,2019-03-10,14.0,78.0,4.7,75.0
7,puerto ayora,EC,-0.74,-90.35,2019-03-10,79.04,97.0,8.99,0.0
8,mumford,GH,5.26,-0.76,2019-03-10,78.14,92.0,4.41,12.0
9,busselton,AU,-33.64,115.35,2019-03-10,73.0,44.0,10.22,0.0
10,tuktoyaktuk,CA,69.44,-133.03,2019-03-10,10.4,78.0,5.82,90.0
11,sistranda,NO,63.73,8.83,2019-03-10,27.0,100.0,5.82,75.0
12,bathsheba,BB,13.22,-59.52,2019-03-10,77.0,65.0,13.87,20.0
13,kapaa,US,22.08,-159.32,2019-03-10,78.8,69.0,17.22,90.0
14,nikolskoye,RU,59.7,30.79,2019-03-10,26.01,85.0,2.24,0.0
15,punta arenas,CL,-53.16,-70.91,2019-03-10,53.6,76.0,19.46,90.0
16,dikson,RU,73.51,80.55,2019-03-10,7.09,83.0,11.56,56.0
17,hithadhoo,MV,-0.6,73.08,2019-03-10,83.27,100.0,5.97,0.0
18,cabo san lucas,MX,22.89,-109.91,2019-03-10,73.4,64.0,4.7,75.0
19,sheksna,RU,59.21,38.5,2019-03-10,31.3,92.0,12.01,76.0
20,bristol,GB,51.45,-2.6,2019-03-10,43.0,74.0,21.92,48.0
21,arraial do cabo,BR,-22.97,-42.02,2019-03-10,79.09,94.0,8.77,44.0
22,kananga,CD,-5.9,22.41,2019-03-10,69.86,94.0,5.64,76.0
23,viedma,AR,-40.81,-62.99,2019-03-10,61.9,45.0,12.01,0.0
24,longyearbyen,NO,78.22,15.63,2019-03-10,3.2,65.0,10.29,20.0
25,tasiilaq,GL,65.61,-37.64,2019-03-10,19.4,62.0,3.36,76.0
26,kupang,ID,-10.16,123.6,2019-03-10,87.8,66.0,6.93,40.0
27,vestmannaeyjar,IS,63.44,-20.27,2019-03-10,29.5,100.0,7.99,0.0
28,new norfolk,AU,-42.78,147.06,2019-03-10,69.01,34.0,10.29,20.0
29,khatanga,RU,71.98,102.47,2019-03-10,-1.69,68.0,8.99,0.0
30,cape town,ZA,-33.93,18.42,2019-03-10,64.99,82.0,10.29,75.0
31,bredasdorp,ZA,-34.53,20.04,2019-03-10,64.4,82.0,13.87,92.0
32,rikitea,PF,-23.12,-134.97,2019-03-10,76.21,100.0,17.72,76.0
33,chuy,UY,-33.69,-53.46,2019-03-10,62.89,88.0,9.78,0.0
34,aklavik,CA,68.22,-135.01,2019-03-10,24.8,53.0,2.24,75.0
35,ushuaia,AR,-54.81,-68.31,2019-03-10,51.8,81.0,26.4,75.0
36,qaanaaq,GL,77.48,-69.36,2019-03-10,-9.16,97.0,9.78,48.0
37,farafangana,MG,-22.82,47.83,2019-03-10,77.92,100.0,1.72,48.0
38,kodiak,US,39.95,-94.76,2019-03-10,34.0,74.0,4.7,20.0
39,atambua,ID,-9.11,124.89,2019-03-10,78.01,100.0,5.64,92.0
40,te anau,NZ,-45.41,167.72,2019-03-10,58.07,95.0,3.85,100.0
41,torbay,CA,47.66,-52.73,2019-03-10,24.01,79.0,9.17,5.0
42,vao,EE,59.1,26.19,2019-03-10,17.8,93.0,6.2,20.0
43,broome,GB,52.47,1.45,2019-03-10,39.0,91.0,17.22,68.0
44,hobart,AU,-42.88,147.33,2019-03-10,69.01,34.0,10.29,20.0
45,albany,US,42.65,-73.75,2019-03-10,39.2,86.0,4.7,90.0
46,port hardy,CA,50.7,-127.42,2019-03-10,42.8,56.0,6.93,90.0
47,castro,CL,-42.48,-73.76,2019-03-10,55.4,82.0,2.84,0.0
48,fuerte olimpo,BR,-21.04,-57.87,2019-03-10,77.2,81.0,6.42,0.0
49,parker,US,39.52,-104.76,2019-03-10,44.6,66.0,6.93,1.0
50,warwick,US,41.7,-71.42,2019-03-10,43.0,100.0,5.82,90.0
51,takoradi,GH,4.89,-1.75,2019-03-10,80.21,100.0,4.74,0.0
52,sao filipe,CV,14.9,-24.5,2019-03-10,71.17,95.0,13.02,0.0
53,zhob,PK,31.34,69.45,2019-03-10,34.67,97.0,2.95,80.0
54,portland,US,45.52,-122.67,2019-03-10,48.2,52.0,9.17,1.0
55,hilo,US,19.71,-155.08,2019-03-10,73.99,69.0,14.99,90.0
56,hasaki,JP,35.73,140.83,2019-03-10,54.0,87.0,19.46,75.0
57,brae,GB,60.4,-1.35,2019-03-10,39.2,99.0,3.36,64.0
58,sulangan,PH,11.14,123.72,2019-03-10,80.71,100.0,5.75,0.0
59,san patricio,PY,-26.98,-56.83,2019-03-10,74.72,76.0,5.41,36.0
60,kulhudhuffushi,MV,6.62,73.07,2019-03-10,81.83,100.0,4.18,0.0
61,pevek,RU,69.7,170.27,2019-03-10,-9.61,84.0,2.62,0.0
62,muroto,JP,33.37,134.14,2019-03-10,60.8,41.0,20.8,40.0
63,norman wells,CA,65.28,-126.83,2019-03-10,28.4,50.0,5.82,75.0
64,tilichiki,RU,60.47,166.1,2019-03-10,10.96,88.0,4.18,56.0
65,carnarvon,ZA,-30.97,22.13,2019-03-10,39.17,68.0,3.29,0.0
66,yar-sale,RU,66.83,70.83,2019-03-10,22.79,91.0,15.48,80.0
67,georgetown,GY,6.8,-58.16,2019-03-10,77.0,83.0,9.17,0.0
68,kruisfontein,ZA,-34.0,24.73,2019-03-10,66.4,92.0,16.04,88.0
69,vila franca do campo,PT,37.72,-25.43,2019-03-10,59.0,82.0,12.75,40.0
70,itarema,BR,-2.92,-39.92,2019-03-10,75.89,96.0,6.64,32.0
71,pakokku,MM,21.33,95.09,2019-03-10,77.42,60.0,4.41,0.0
72,barrow,AR,-38.31,-60.23,2019-03-10,59.33,49.0,9.78,0.0
73,trincomalee,LK,8.58,81.23,2019-03-10,81.07,77.0,5.19,20.0
74,cayenne,GF,4.94,-52.33,2019-03-10,78.8,83.0,8.05,75.0
75,long beach,US,30.35,-89.15,2019-03-10,72.0,100.0,5.82,90.0
76,najran,SA,17.54,44.22,2019-03-10,59.0,28.0,2.73,0.0
77,berlin,DE,52.52,13.39,2019-03-10,37.99,93.0,17.22,75.0
78,san cristobal,EC,-0.39,-78.55,2019-03-10,57.2,93.0,9.17,40.0
79,alta floresta,BR,-9.87,-56.08,2019-03-10,74.81,93.0,2.06,12.0
80,sitka,US,37.17,-99.65,2019-03-10,38.32,62.0,10.22,68.0
81,lompoc,US,34.64,-120.46,2019-03-10,55.4,71.0,9.17,75.0
82,santa marinella,IT,42.04,11.87,2019-03-10,57.2,87.0,8.05,75.0
83,coquimbo,CL,-29.95,-71.34,2019-03-10,60.8,82.0,6.93,0.0
84,nanortalik,GL,60.14,-45.24,2019-03-10,26.89,100.0,27.89,0.0
85,bluff,AU,-23.58,149.07,2019-03-10,94.75,41.0,4.18,0.0
86,vaini,IN,15.34,74.49,2019-03-10,64.4,72.0,2.95,0.0
87,thompson,CA,55.74,-97.86,2019-03-10,3.2,71.0,3.96,20.0
88,makakilo city,US,21.35,-158.09,2019-03-10,80.01,61.0,14.99,90.0
89,ardesen,TR,41.19,40.99,2019-03-10,48.2,87.0,17.22,75.0
90,east london,ZA,-33.02,27.91,2019-03-10,73.24,100.0,23.53,92.0
91,saint-francois,FR,46.42,3.91,2019-03-10,44.6,81.0,4.7,0.0
92,hualmay,PE,-11.1,-77.61,2019-03-10,72.7,80.0,5.86,88.0
93,jamestown,AU,-33.21,138.6,2019-03-10,69.14,92.0,10.78,68.0
94,lima,PE,-12.06,-77.04,2019-03-10,75.2,73.0,12.75,75.0
95,hermanus,ZA,-34.42,19.24,2019-03-10,61.0,98.0,3.85,92.0
96,havre-saint-pierre,CA,50.23,-63.6,2019-03-10,23.0,67.0,9.17,75.0
97,guerrero negro,MX,27.97,-114.04,2019-03-10,52.54,90.0,5.86,0.0
98,kirensk,RU,57.78,108.12,2019-03-10,19.6,60.0,5.41,48.0
99,lahaina,US,20.87,-156.68,2019-03-10,77.0,69.0,23.04,75.0
100,butaritari,KI,3.07,172.79,2019-03-10,82.19,100.0,15.82,76.0
101,anori,BR,-3.74,-61.66,2019-03-10,74.05,98.0,3.06,88.0
102,port lincoln,AU,-34.72,135.86,2019-03-10,67.79,89.0,12.01,56.0
103,samarina,RU,57.89,27.81,2019-03-10,28.4,100.0,6.71,92.0
104,mar del plata,AR,-46.43,-67.52,2019-03-10,67.16,42.0,8.43,0.0
105,nantucket,US,41.28,-70.1,2019-03-10,46.0,100.0,11.41,76.0
106,ilulissat,GL,69.22,-51.1,2019-03-10,10.4,72.0,9.17,76.0
107,saint george,GR,39.45,22.34,2019-03-10,50.0,75.0,4.7,40.0
108,lavrentiya,RU,65.58,-170.99,2019-03-10,16.31,100.0,42.43,80.0
109,port elizabeth,US,39.31,-74.98,2019-03-10,51.01,100.0,13.91,90.0
110,san andres,PH,13.32,122.68,2019-03-10,79.22,100.0,2.62,36.0
111,mae hong son,MM,19.3,97.96,2019-03-10,62.6,77.0,2.73,0.0
112,clyde river,CA,70.47,-68.59,2019-03-10,-22.01,74.0,2.24,1.0
113,ancud,CL,-41.87,-73.83,2019-03-10,55.4,82.0,0.94,0.0
114,richards bay,ZA,-28.77,32.06,2019-03-10,70.9,100.0,4.07,92.0
115,pacific grove,US,36.62,-121.92,2019-03-10,55.4,66.0,9.17,90.0
116,parintins,BR,-2.63,-56.73,2019-03-10,74.86,96.0,2.62,64.0
117,san fernando,CL,-34.58,-70.99,2019-03-10,69.8,49.0,5.82,36.0
118,kahului,US,20.89,-156.47,2019-03-10,77.0,69.0,23.04,75.0
119,provideniya,RU,64.42,-173.23,2019-03-10,19.4,73.0,26.84,75.0
120,danilov,RU,58.19,40.17,2019-03-10,33.8,93.0,11.18,40.0
121,gat,SN,14.69,-16.54,2019-03-10,69.8,52.0,17.22,0.0
122,portlethen,GB,57.05,-2.13,2019-03-10,36.0,78.0,20.8,75.0
123,antalaha,MG,-14.9,50.28,2019-03-10,75.94,100.0,4.18,100.0
124,olinda,EC,-2.03,-79.75,2019-03-10,78.01,94.0,8.05,75.0
125,dongsheng,CN,29.72,112.52,2019-03-10,59.51,63.0,10.0,80.0
126,namatanai,PG,-3.66,152.44,2019-03-10,79.09,100.0,6.53,92.0
127,ribeira grande,PT,38.52,-28.7,2019-03-10,61.36,95.0,17.49,76.0
128,podgornoye,RU,57.79,82.64,2019-03-10,22.97,76.0,9.44,80.0
129,chokurdakh,RU,70.62,147.9,2019-03-10,-1.65,81.0,3.18,88.0
130,tual,ID,-5.67,132.75,2019-03-10,80.12,100.0,9.33,64.0
131,souillac,FR,45.6,-0.6,2019-03-10,45.0,93.0,4.7,0.0
132,henties bay,NA,-22.12,14.28,2019-03-10,61.0,88.0,1.99,0.0
133,srednekolymsk,RU,67.46,153.71,2019-03-10,3.85,62.0,3.29,56.0
134,fasa,IR,28.94,53.65,2019-03-10,37.4,69.0,2.17,0.0
135,akdepe,TM,42.05,59.39,2019-03-10,35.6,74.0,4.7,0.0
136,georgiyevskoye,RU,44.16,39.25,2019-03-10,40.21,78.0,4.97,8.0
137,umm lajj,SA,25.02,37.27,2019-03-10,56.09,100.0,7.09,8.0
138,ruston,US,32.52,-92.64,2019-03-10,64.4,59.0,8.43,1.0
139,tobol,SE,59.83,12.54,2019-03-10,23.0,79.0,6.93,36.0
140,tullow,IE,52.8,-6.74,2019-03-10,39.99,81.0,19.46,75.0
141,upernavik,GL,72.79,-56.15,2019-03-10,-2.73,100.0,10.45,20.0
142,samoded,RU,63.61,40.52,2019-03-10,30.94,91.0,7.43,68.0
143,laguna,MX,27.52,-110.01,2019-03-10,69.8,46.0,4.7,90.0
144,zhigansk,RU,66.77,123.37,2019-03-10,9.74,75.0,2.51,64.0
145,katsuura,JP,33.93,134.5,2019-03-10,59.0,76.0,17.22,75.0
146,san juan,PR,18.47,-66.12,2019-03-10,78.8,78.0,11.41,20.0
147,caravelas,BR,-17.73,-39.27,2019-03-10,83.09,100.0,14.81,0.0
148,victoria,BN,5.28,115.24,2019-03-10,80.6,88.0,4.7,75.0
149,praxedis guerrero,MX,31.37,-106.02,2019-03-10,57.99,62.0,5.82,90.0
150,kaitangata,NZ,-46.28,169.85,2019-03-10,71.21,59.0,10.0,0.0
151,mayo,CA,63.59,-135.9,2019-03-10,35.6,47.0,2.24,90.0
152,esperance,TT,10.24,-61.45,2019-03-10,79.0,78.0,13.87,40.0
153,atuona,PF,-9.8,-139.03,2019-03-10,82.46,100.0,10.11,64.0
154,hervey bay,AU,-25.3,152.85,2019-03-10,87.8,52.0,9.17,64.0
155,taltal,CL,-25.41,-70.49,2019-03-10,56.54,96.0,2.39,0.0
156,peebles,GB,55.65,-3.19,2019-03-10,37.0,61.0,7.0,8.0
157,coihaique,CL,-45.58,-72.07,2019-03-10,59.0,58.0,3.36,0.0
158,qandala,SO,11.47,49.87,2019-03-10,63.47,96.0,5.41,0.0
159,sambava,MG,-14.27,50.17,2019-03-10,78.86,100.0,7.54,88.0
160,cheremukhovo,RU,56.23,46.23,2019-03-10,30.71,95.0,4.74,88.0
161,pareora,NZ,-44.49,171.21,2019-03-10,68.0,80.0,7.0,8.0
162,bayji,IQ,34.93,43.49,2019-03-10,38.14,78.0,3.85,0.0
163,saldanha,PT,41.42,-6.55,2019-03-10,36.16,82.0,2.39,0.0
164,ulladulla,AU,-35.36,150.48,2019-03-10,78.01,61.0,1.12,75.0
165,gelemso,ET,8.81,40.52,2019-03-10,47.18,71.0,3.74,0.0
166,avarua,CK,-21.21,-159.78,2019-03-10,86.0,70.0,12.75,100.0
167,muros,ES,42.77,-9.06,2019-03-10,52.0,93.0,8.05,0.0
168,bethel,US,60.79,-161.76,2019-03-10,37.4,93.0,4.7,90.0
169,ocampo,PH,13.56,123.37,2019-03-10,82.37,81.0,3.4,0.0
170,maryborough,AU,-25.54,152.7,2019-03-10,95.92,35.0,4.29,12.0
171,lowestoft,GB,52.48,1.75,2019-03-10,39.0,100.0,17.22,88.0
172,gumdag,TM,39.2,54.59,2019-03-10,38.72,85.0,4.07,0.0
173,lebu,ET,8.96,38.73,2019-03-10,41.47,79.0,3.18,0.0
174,forio,IT,40.73,13.86,2019-03-10,57.99,82.0,3.36,75.0
175,ossora,RU,59.24,163.07,2019-03-10,16.76,88.0,10.0,76.0
176,port alfred,ZA,-33.59,26.89,2019-03-10,66.0,97.0,7.0,92.0
177,henderson,US,36.04,-114.98,2019-03-10,59.0,46.0,11.41,90.0
178,mattru,SL,7.62,-11.83,2019-03-10,75.89,90.0,2.62,8.0
179,shumskiy,RU,54.83,99.13,2019-03-10,27.79,46.0,3.06,64.0
180,sao felix do xingu,BR,-6.64,-51.99,2019-03-10,74.99,96.0,2.39,44.0
181,mounana,GA,-1.38,13.16,2019-03-10,75.89,90.0,2.39,88.0
182,talnakh,RU,69.49,88.39,2019-03-10,17.93,83.0,12.01,88.0
183,semikarakorsk,RU,47.52,40.81,2019-03-10,37.4,80.0,20.13,0.0
184,taveta,TZ,-3.4,37.68,2019-03-10,71.6,78.0,11.41,20.0
185,mikkeli,FI,61.69,27.27,2019-03-10,14.0,87.0,1.01,44.0
186,kizukuri,JP,40.81,140.39,2019-03-10,44.6,93.0,11.41,75.0
187,ostrovnoy,RU,68.05,39.51,2019-03-10,17.8,92.0,13.02,92.0
188,diamantino,BR,-14.4,-56.44,2019-03-10,76.3,84.0,3.96,36.0
189,college,US,64.86,-147.8,2019-03-10,42.8,35.0,4.74,75.0
190,mount gambier,AU,-37.83,140.78,2019-03-10,62.6,67.0,13.87,90.0
191,bambous virieux,MU,-20.34,57.76,2019-03-10,75.0,88.0,4.7,20.0
192,rafai,CF,4.95,23.92,2019-03-10,68.42,75.0,3.62,0.0
193,salinas,US,36.67,-121.66,2019-03-10,55.4,66.0,9.17,90.0
194,petropavlovsk-kamchatskiy,RU,53.05,158.65,2019-03-10,24.8,45.0,15.66,0.0
195,sisimiut,GL,66.94,-53.67,2019-03-10,-4.53,64.0,1.61,44.0
196,kalundborg,DK,55.68,11.1,2019-03-10,30.99,86.0,4.7,0.0
197,iquitos,PE,-3.75,-73.25,2019-03-10,72.74,100.0,3.62,92.0
198,tiarei,PF,-17.53,-149.33,2019-03-10,84.2,70.0,8.05,75.0
199,samarai,PG,-10.62,150.67,2019-03-10,82.46,100.0,9.44,48.0
200,fonte boa,BR,-2.51,-66.09,2019-03-10,73.24,96.0,2.84,0.0
201,saint-philippe,CA,45.36,-73.48,2019-03-10,37.0,93.0,10.29,90.0
202,zhanaozen,KZ,43.35,52.85,2019-03-10,39.53,74.0,12.01,32.0
203,telhara,IN,21.03,76.85,2019-03-10,74.14,38.0,6.2,0.0
204,isiro,CD,2.77,27.62,2019-03-10,72.34,77.0,0.72,56.0
205,kodinsk,RU,58.6,99.18,2019-03-10,20.54,71.0,5.97,56.0
206,goundam,ML,16.42,-3.66,2019-03-10,58.34,46.0,8.21,0.0
207,simpang,MY,4.82,100.71,2019-03-10,78.8,88.0,2.24,75.0
208,mount isa,AU,-20.73,139.49,2019-03-10,96.8,30.0,5.82,0.0
209,penalva,BR,-3.29,-45.17,2019-03-10,75.71,95.0,4.63,20.0
210,lakatoro,VU,-16.11,167.42,2019-03-10,78.01,100.0,4.97,76.0
211,srandakan,ID,-7.94,110.25,2019-03-10,81.79,94.0,4.18,24.0
212,campos,PT,41.54,-8.28,2019-03-10,53.01,100.0,1.61,0.0
213,tiznit,MA,29.7,-9.73,2019-03-10,53.89,79.0,2.95,0.0
214,rawson,AR,-43.3,-65.11,2019-03-10,77.96,22.0,19.62,0.0
215,dakar,SN,14.69,-17.45,2019-03-10,69.8,52.0,17.22,0.0
216,nagapattinam,IN,10.76,79.84,2019-03-10,82.87,70.0,2.17,0.0
217,nedjo,ET,9.5,35.5,2019-03-10,60.82,47.0,4.63,8.0
218,sorland,NO,67.67,12.69,2019-03-10,32.92,100.0,11.79,44.0
219,kaliua,TZ,-5.06,31.79,2019-03-10,63.16,97.0,3.74,80.0
220,cortez,US,37.35,-108.58,2019-03-10,48.2,29.0,2.95,1.0
221,adrar,DZ,27.87,-0.29,2019-03-10,62.6,33.0,11.41,0.0
222,qaqortoq,GL,60.72,-46.03,2019-03-10,24.8,68.0,4.7,0.0
223,nabire,ID,-3.36,135.5,2019-03-10,82.73,72.0,2.51,32.0
224,sihora,IN,23.49,80.11,2019-03-10,73.19,41.0,5.53,0.0
225,denpasar,ID,-8.65,115.22,2019-03-10,84.2,83.0,9.17,20.0
226,dunedin,NZ,-45.87,170.5,2019-03-10,64.99,73.0,15.01,8.0
227,agirish,RU,61.92,63.02,2019-03-10,26.93,76.0,8.55,0.0
228,yarada,IN,17.65,83.27,2019-03-10,78.8,88.0,4.7,20.0
229,avera,US,33.19,-82.53,2019-03-10,68.0,93.0,5.41,75.0
230,shahreza,IR,32.01,51.87,2019-03-10,9.79,77.0,4.18,12.0
231,lermontovka,RU,47.15,134.34,2019-03-10,43.58,38.0,5.19,64.0
232,teguldet,RU,57.31,88.17,2019-03-10,21.22,70.0,10.0,48.0
233,bilibino,RU,68.06,166.44,2019-03-10,-0.84,63.0,3.18,8.0
234,salalah,OM,17.01,54.1,2019-03-10,75.2,15.0,6.93,0.0
235,morondava,MG,-20.3,44.28,2019-03-10,74.41,100.0,5.75,20.0
236,boulder city,US,35.98,-114.83,2019-03-10,55.4,46.0,11.41,90.0
237,shihezi,CN,44.3,86.03,2019-03-10,24.64,93.0,3.51,68.0
238,verkhnevilyuysk,RU,63.45,120.31,2019-03-10,11.32,69.0,4.29,56.0
239,sterling,US,39.0,-77.4,2019-03-10,55.99,100.0,13.02,1.0
240,linxia,CN,35.6,103.21,2019-03-10,35.62,44.0,3.74,44.0
241,russell,AR,-33.01,-68.8,2019-03-10,57.2,93.0,2.39,40.0
242,bayir,TR,37.27,28.22,2019-03-10,43.0,100.0,5.82,0.0
243,los llanos de aridane,ES,28.66,-17.92,2019-03-10,68.0,77.0,11.41,0.0
244,artyom,RU,43.36,132.19,2019-03-10,41.0,25.0,2.24,64.0
245,quchan,IR,37.11,58.51,2019-03-10,15.19,71.0,2.17,0.0
246,bhunya,SZ,-26.54,31.01,2019-03-10,62.6,100.0,4.7,92.0
247,airai,TL,-8.93,125.41,2019-03-10,75.31,78.0,2.39,92.0
248,capoterra,IT,39.18,8.97,2019-03-10,55.4,87.0,6.93,5.0
249,wakkanai,JP,45.41,141.67,2019-03-10,35.6,74.0,11.41,75.0
250,high rock,BS,26.63,-78.28,2019-03-10,75.67,100.0,13.47,0.0
251,saint-joseph,FR,43.56,6.97,2019-03-10,59.0,47.0,18.34,0.0
252,sydney mines,CA,46.24,-60.22,2019-03-10,24.01,85.0,8.05,75.0
253,faanui,PF,-16.48,-151.75,2019-03-10,82.01,100.0,6.08,64.0
254,luderitz,NA,-26.65,15.16,2019-03-10,59.42,84.0,12.46,0.0
255,kavieng,PG,-2.57,150.8,2019-03-10,82.69,100.0,15.26,80.0
256,constitucion,MX,23.99,-104.67,2019-03-10,58.57,22.0,8.32,0.0
257,northam,GB,51.04,-4.21,2019-03-10,43.0,86.0,25.28,8.0
258,emerald,AU,-23.53,148.16,2019-03-10,98.01,34.0,6.93,0.0
259,krasnoarmeysk,RU,56.12,38.15,2019-03-10,34.0,100.0,6.71,90.0
260,oriximina,BR,-1.77,-55.87,2019-03-10,75.67,97.0,2.62,68.0
261,cururupu,BR,-1.82,-44.87,2019-03-10,77.24,95.0,3.4,88.0
262,taoudenni,ML,22.68,-3.98,2019-03-10,55.37,39.0,10.78,0.0
263,mahibadhoo,MV,3.78,72.97,2019-03-10,82.01,100.0,5.86,12.0
264,ranong,TH,9.96,98.62,2019-03-10,77.0,94.0,2.24,0.0
265,anchorage,US,61.22,-149.89,2019-03-10,44.6,45.0,5.82,75.0
266,sao joao da barra,BR,-21.64,-41.05,2019-03-10,80.93,100.0,5.64,12.0
267,marawi,PH,8.0,124.29,2019-03-10,81.0,75.0,5.01,12.0
268,dingle,PH,11.0,122.67,2019-03-10,86.92,61.0,5.41,0.0
269,makinsk,KZ,52.63,70.42,2019-03-10,22.34,87.0,12.01,80.0
270,pisco,PE,-13.71,-76.2,2019-03-10,71.17,85.0,0.6,44.0
271,codrington,AU,-28.95,153.24,2019-03-10,96.8,49.0,8.05,32.0
272,teya,MX,21.05,-89.07,2019-03-10,89.6,40.0,11.41,20.0
273,alexandria,US,31.31,-92.44,2019-03-10,71.6,78.0,6.93,75.0
274,cam ranh,VN,11.92,109.15,2019-03-10,86.0,79.0,5.82,75.0
275,lalmohan,BD,22.34,90.74,2019-03-10,79.9,82.0,3.85,0.0
276,vostok,RU,46.45,135.83,2019-03-10,36.34,50.0,3.96,68.0
277,camacha,PT,33.08,-16.33,2019-03-10,60.8,77.0,11.41,40.0
278,naze,NG,5.43,7.07,2019-03-10,73.01,93.0,3.74,20.0
279,isangel,VU,-19.55,169.27,2019-03-10,86.0,74.0,3.36,75.0
280,buala,SB,-8.15,159.59,2019-03-10,81.16,100.0,2.84,8.0
281,idlib,SY,35.93,36.64,2019-03-10,57.2,82.0,6.93,40.0
